Date,Open,High,Low,Close,Adj Close,Volume
7/26/2010,16260,16400,16180,16360,8.629713,10617450
7/27/2010,16480,16600,16420,16580,8.745762,19088350
7/28/2010,16640,16800,16620,16740,8.830163,23248200
7/29/2010,16780,16800,16480,16540,8.724661,14865300
7/30/2010,16440,16540,16200,16200,8.545316,16399000
8/2/2010,16340,16360,16200,16200,8.545316,12455050
8/3/2010,16400,16440,16300,16300,8.598066,13105950
8/4/2010,16340,16360,16120,16120,8.503119,10616650
8/5/2010,16220,16360,16060,16080,8.482018,14028550
8/6/2010,16200,16200,15980,16020,8.45037,12296750
8/9/2010,15980,16040,15960,16040,8.460917,9138150
8/10/2010,16000,16080,15820,15860,8.36597,14060850
8/11/2010,15680,15780,15540,15580,8.218274,17957900
8/12/2010,15360,15540,15300,15320,8.081124,21360650
8/13/2010,15400,15640,15340,15620,8.239374,14274900
8/16/2010,15460,15660,15340,15640,8.249923,10280000
8/17/2010,15540,15660,15420,15640,8.249923,14476450
8/18/2010,15680,15700,15480,15560,8.207726,11715900
8/19/2010,15580,15780,15540,15780,8.323771,12179900
8/20/2010,15600,15720,15540,15680,8.271022,12330600
8/23/2010,15720,15820,15640,15800,8.334322,9081550
8/24/2010,15700,15720,15500,15660,8.260473,11365400
8/25/2010,15520,15560,15440,15440,8.144425,9263250
8/26/2010,15440,15660,15400,15460,8.154975,10440100
8/27/2010,15300,15440,15300,15320,8.081124,12748200
8/30/2010,15500,15560,15440,15520,8.186624,6984450
8/31/2010,15320,15440,15120,15120,7.97563,22051950
9/1/2010,15240,15260,15000,15040,7.93343,19451700
9/2/2010,15200,15240,14980,15180,8.007278,18271500
9/3/2010,15220,15280,15120,15220,8.028378,22082500
9/6/2010,15440,15600,15360,15600,8.228822,19708650
9/7/2010,15660,15800,15500,15760,8.313222,16036000
9/8/2010,15520,15620,15420,15420,8.133875,10954600
9/9/2010,15340,15480,15120,15120,7.97563,30825400
9/10/2010,15200,15440,15140,15320,8.081124,13989000
9/13/2010,15400,15520,15320,15400,8.123324,11741050
9/14/2010,15500,15620,15200,15200,8.01783,18559950
9/15/2010,15260,15340,15020,15140,7.986178,19441850
9/16/2010,15080,15260,15080,15140,7.986178,11734100
9/17/2010,15240,15560,15160,15460,8.154975,22369300
9/20/2010,15480,15600,15400,15600,8.228822,14807550
9/24/2010,15580,15600,15160,15240,8.038928,32766800
9/27/2010,15300,15360,15040,15100,7.965079,25107150
9/28/2010,15100,15120,14900,14900,7.859581,23315700
9/29/2010,15060,15500,15000,15440,8.144425,35348050
9/30/2010,15440,15580,15340,15540,8.197175,16855500
10/1/2010,15440,15560,15380,15540,8.197175,14805750
10/4/2010,15600,15620,15480,15600,8.228822,12835350
10/5/2010,15440,15580,15420,15460,8.154975,14300150
10/6/2010,15560,15880,15520,15860,8.36597,23555150
10/7/2010,15580,15660,15380,15400,8.123324,25542150
10/8/2010,15260,15320,15060,15160,7.996727,27125750
10/11/2010,15240,15260,15060,15060,7.943981,18784450
10/12/2010,15040,15120,14920,14920,7.87013,18391350
10/13/2010,15040,15040,14860,14880,7.849031,20414700
10/14/2010,15060,15060,14840,15000,7.912332,26710000
10/15/2010,15000,15120,14900,15080,7.954529,24686150
10/18/2010,15140,15240,14960,15020,7.92288,13804400
10/19/2010,15000,15020,14820,14820,7.817382,19450000
10/20/2010,14800,14980,14700,14900,7.859581,18474100
10/21/2010,14900,15300,14820,15300,8.070579,28370400
10/22/2010,15460,15540,15340,15540,8.197175,20425550
10/25/2010,15460,15580,15340,15420,8.133875,12353450
10/26/2010,15360,15420,15160,15260,8.049478,15629050
10/27/2010,15160,15300,15020,15060,7.943981,16732750
10/28/2010,15200,15300,15060,15280,8.060028,14631600
10/29/2010,15280,15300,14900,14900,7.859581,23060950
11/1/2010,15060,15060,14860,14940,7.880681,14837800
11/2/2010,14940,14960,14740,14800,7.806831,16536700
11/3/2010,14800,14980,14780,14800,7.806831,17874950
11/4/2010,14940,15280,14900,15260,8.049478,27312500
11/5/2010,15600,15800,15500,15520,8.186624,35165050
11/8/2010,15700,15760,15520,15560,8.207726,13961400
11/9/2010,15680,15680,15340,15480,8.165524,12801650
11/10/2010,15600,15800,15500,15800,8.334322,21088000
11/11/2010,15860,15980,15340,15340,8.091676,44525300
11/12/2010,15680,15800,15460,15560,8.207726,28325650
11/15/2010,15720,16300,15700,16160,8.524216,35892450
11/16/2010,16280,16400,16000,16220,8.55587,29475050
11/17/2010,16020,16080,15900,15900,8.38707,17123100
11/18/2010,15940,16100,15860,15980,8.42927,13296000
11/19/2010,16160,16380,16000,16360,8.629713,19355150
11/22/2010,16400,16960,16360,16960,8.946208,36057400
11/23/2010,17000,17020,16680,16800,8.86181,18280200
11/24/2010,16520,17040,16500,17020,8.977859,31792000
11/25/2010,17060,17060,16760,16900,8.914559,18359500
11/26/2010,16960,16980,16640,16740,8.830163,15679300
11/29/2010,16700,16920,16620,16720,8.819611,15401050
11/30/2010,16640,16920,16520,16520,8.714115,21205500
12/1/2010,16480,16560,16280,16400,8.650815,18777150
12/2/2010,16560,17180,16500,17180,9.062256,30608400
12/3/2010,17400,17940,17340,17880,9.431499,39373850
12/6/2010,17800,17980,17700,17800,9.389301,16837550
12/7/2010,17740,18420,17700,18020,9.505347,24906050
12/8/2010,18060,18200,17740,17760,9.3682,16803250
12/9/2010,17700,18360,17680,18340,9.674142,29422050
12/10/2010,18300,18380,18140,18380,9.695242,12757050
12/13/2010,18380,18640,18320,18600,9.81129,15359300
12/14/2010,18740,18740,18420,18580,9.800741,22126100
12/15/2010,18500,18500,18200,18320,9.663594,16449400
12/16/2010,18160,18380,18160,18220,9.610845,11684200
12/17/2010,18280,18580,18240,18520,9.769093,17297200
12/20/2010,18340,18640,18280,18640,9.83239,16911750
12/21/2010,18620,18800,18500,18720,9.874586,12599300
12/22/2010,18780,19060,18720,18780,9.906237,16626800
12/23/2010,18720,18760,18500,18720,9.874586,10985500
12/24/2010,18780,18780,18500,18500,9.758541,8471650
12/27/2010,18500,18600,18300,18440,9.726891,10524200
12/28/2010,18560,19000,18520,18760,9.895689,15650700
12/29/2010,18700,19020,18640,18900,13.592189,11918900
12/30/2010,18840,19040,18840,18980,13.649718,9181500
1/3/2011,19100,19320,19000,19160,13.779172,13241050
1/4/2011,19120,19220,18980,19160,13.779172,13713100
1/5/2011,19100,19100,18840,18840,13.549036,16787500
1/6/2011,18840,18980,18460,18600,13.376439,19360400
1/7/2011,18300,18580,18280,18420,13.246985,23139800
1/10/2011,18360,18560,18180,18340,13.189456,18326750
1/11/2011,18340,18440,18160,18260,13.131924,19550800
1/12/2011,18280,18660,18280,18600,13.376439,20555800
1/13/2011,18980,18980,18340,18440,13.261373,28239850
1/14/2011,18560,18680,18300,18660,13.419589,15382350
1/17/2011,18900,19020,18800,18980,13.649718,20582100
1/18/2011,19000,19620,18980,19380,13.937388,29631350
1/19/2011,19580,20000,19320,19940,14.340118,33343200
1/20/2011,19740,19800,19580,19640,14.12437,15244400
1/21/2011,19520,19680,19400,19420,13.966155,16666400
1/24/2011,19360,19660,19320,19420,13.966155,13609350
1/25/2011,19440,19800,19420,19500,14.023686,13970550
1/26/2011,19700,19980,19600,19960,14.3545,13352500
1/27/2011,19900,20040,19820,19880,14.296967,15367000
1/28/2011,19960,20280,19800,20200,14.527101,19118950
1/31/2011,20180,20200,19620,19620,14.109987,21411900
2/1/2011,19640,19900,19580,19660,14.138753,13468450
2/7/2011,20040,20080,19440,19440,13.980536,24252200
2/8/2011,19400,19480,19180,19220,13.822321,30483500
2/9/2011,19460,19460,19020,19200,13.807939,20984650
2/10/2011,19200,19300,18700,18720,13.46274,30669300
2/11/2011,18700,18860,18260,18300,13.160689,26489900
2/14/2011,18560,19100,18500,19060,13.707254,19565800
2/15/2011,19260,19400,18940,19160,13.779172,18105800
2/16/2011,19040,19400,18900,18900,13.592189,15182650
2/17/2011,19060,19260,18860,19080,13.721639,14348550
2/18/2011,19300,19320,19140,19200,13.807939,10253850
2/21/2011,19280,19300,18840,18960,13.635336,13750850
2/22/2011,18780,18960,18680,18760,13.491505,12181550
2/23/2011,18500,18820,18500,18600,13.376439,17193000
2/24/2011,18520,18680,18400,18580,13.362055,18110900
2/25/2011,18560,18660,18460,18520,13.318906,15181200
2/28/2011,18400,18680,18400,18460,13.275755,16274800
3/2/2011,18280,18460,18240,18360,13.203841,16134300
3/3/2011,18380,18540,18320,18460,13.275755,18074200
3/4/2011,18680,18900,18540,18900,13.592189,18569150
3/7/2011,18860,18860,18120,18120,13.031241,31883600
3/8/2011,18220,18240,17880,17980,12.930555,24905400
3/9/2011,18120,18160,17640,17800,12.801106,26296300
3/10/2011,17580,17680,17320,17320,12.455913,41630200
3/11/2011,17220,17520,17200,17240,12.398374,26884000
3/14/2011,17600,18020,17060,18000,12.944941,33325000
3/15/2011,18020,18040,17120,17200,12.369612,36313200
3/16/2011,17700,17900,17440,17720,12.743573,39939050
3/17/2011,17560,17800,17360,17800,12.801106,22505200
3/18/2011,17840,17900,17660,17820,12.815492,19166050
3/21/2011,17820,17980,17680,17800,12.801106,14473500
3/22/2011,17840,17940,17400,17500,12.58536,21810300
3/23/2011,17600,17600,17180,17460,12.556593,25229000
3/24/2011,17600,17760,17480,17600,12.657272,15392550
3/25/2011,17840,18200,17800,18200,13.088774,31078100
3/28/2011,18300,18440,18180,18320,13.175073,15890200
3/29/2011,18140,18320,18000,18320,13.175073,17204100
3/30/2011,18320,18580,18320,18520,13.318906,20685150
3/31/2011,18720,18720,18420,18640,13.405205,26376550
4/1/2011,18720,18800,18540,18800,13.520273,22471700
4/4/2011,18800,18900,18780,18900,13.592189,16716750
4/5/2011,18960,18960,18700,18900,13.592189,11922000
4/6/2011,18800,18840,18300,18460,13.275755,27471850
4/7/2011,18500,18700,18100,18180,13.074389,21781250
4/8/2011,18220,18280,17900,17960,12.916173,25983450
4/11/2011,17960,18140,17760,17880,12.858643,20582800
4/12/2011,17720,17800,17640,17640,12.686044,15766950
4/13/2011,17740,18020,17600,18020,12.959325,16627750
4/14/2011,18000,18000,17680,18000,12.944941,25265700
4/15/2011,17960,17980,17640,17760,12.772342,22274750
4/18/2011,17820,17840,17320,17340,12.470295,27418700
4/19/2011,17060,17500,17060,17500,12.58536,23078650
4/20/2011,17780,18320,17720,18320,13.175073,32044250
4/21/2011,18600,18740,18360,18560,13.347672,27071850
4/22/2011,18480,18540,18040,18080,13.002474,18825450
4/25/2011,18020,18220,17780,17780,12.786724,14338950
4/26/2011,17980,17980,17600,17940,12.901791,19174650
4/27/2011,18340,18540,18220,18480,13.290137,26379400
4/28/2011,18480,18540,17980,18000,12.944941,20803400
4/29/2011,18020,18160,17600,17860,12.844258,21415000
5/2/2011,18200,18740,18080,18640,13.405205,32544850
5/3/2011,18720,18800,18440,18760,13.491505,25366500
5/4/2011,18600,18680,18000,18300,13.160689,25769850
5/6/2011,17980,18280,17900,17980,12.930555,23637450
5/9/2011,18160,18220,17820,17820,12.815492,13543350
5/11/2011,17780,17900,17640,17840,12.829873,22363750
5/12/2011,17720,18020,17660,17700,12.729193,27616100
5/13/2011,17920,18480,17800,18320,13.175073,33438000
5/16/2011,18340,18380,17960,18020,12.959325,16123700
5/17/2011,17940,17960,17780,17800,12.801106,11549950
